no;id;name;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm
621;5994999;Luxurious River View Condo at the Center of BKK;30947799;Tanya;Khlong San;137.201;10.050.527;Entire home/apt;990;75;7;31/10/2022;0.09;1;269;2
622;6013487;The Mustang Nero/No.3 The Wolf;30963587;Themustang;Khlong Toei;1.371.286;10.059.172;Hotel room;2329;1;477;22/11/2022;5.11;10;50;6
623;6033632;The Mustang Nero/No.2 Black Bird;30963587;Themustang;Khlong Toei;1.371.136;10.059.217;Hotel room;2000;1;426;07/02/2020;4.65;10;0;0
624;6033663;Twin room near Wat pho;14391623;Sasi;Phra Nakhon;1.374.775;10.049.867;Hotel room;1980;1;18;15/08/2019;0.2;24;361;0
625;6033826;The Mustang Nero/No.1 Magic Dragon;30963587;Themustang;Khlong Toei;1.371.174;1.005.938;Hotel room;2286;1;393;26/12/2022;4.29;10;2;2
626;5071188;cosy and convenience @ heart of BKK;21621627;Narsaraet;Bang Rak;1.372.276;1.005.312;Entire home/apt;4000;2;16;21/05/2017;0.17;1;272;0
627;5425967;A double room at Baan Ongkharak b&b - Dusit area;26459188;Supanda;Dusit;1.378.963;10.051.768;Private room;1100;1;42;25/12/2018;0.44;4;78;0
628;5071486;Studio;659899;Laidback Place;Vadhana;1.372.103;10.060.415;Private room;600;30;3;01/03/2020;0.04;2;320;0
629;6047102;Luxury Duplex 2B3B -1year lease;31005660;LineID:Naikaibin;Chatu Chak;1.383.396;10.056.851;Entire home/apt;1400;14;0;;;3;358;0
630;6047170;2BR 75 sqm 1year lease can walk to sutisarn MRT;31005660;LineID:Naikaibin;Huai Khwang;1.378.795;10.057.904;Entire home/apt;18000;1;0;;;3;365;0
631;5071615;Cozy 4 Bed Mixed Dorm@Sukhumvit road;22869250;Eve;Khlong Toei;1.372.056;10.057.021;Shared room;560;1;11;17/12/2017;0.13;7;1;0
632;5074762;Ban Kru Ae Homestay Don Muang DMK private room;26205111;Kru;Don Mueang;1.393.346;10.060.146;Private room;790;1;87;25/01/2020;0.96;2;365;0
633;6057511;Private House Nearby Suvarnabhumi Airport;31276772;Ja;Pra Wet;1.373.353;10.068.977;Entire home/apt;3500;1;2;30/01/2022;0.12;3;359;1
634;5446612;Great 1 bed condo looking at river;27670770;Sam;Thon buri;1.369.899;1.004.823;Entire home/apt;3340;1;0;;;1;365;0
635;5081704;Luxury Duplex Room@Central of BKK;26246252;Supatnuj;Vadhana;1.374.549;10.056.268;Private room;6000;1;0;;;1;342;0
